source_url	parsed_url
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/offers/all-offers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/swimwear-beachwear
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/events/holiday-shop/womens-holiday-shop/five-pounds-and-under
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/kids-homestore/kids-dining
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/jewellery-and-hair
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/baby/feeding
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/collections/suits-and-workwear/suits
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/offers/all-offers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/brands/soon
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/offers/last-chance-to-buy
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/kitchen/cooking-and-baking
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/tops/bandeaus
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/the-show/mens
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/leggings
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/boys/party-occasion/page-boy-suits
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/accessories/hats--scarves-and-gloves
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/categories/sportswear
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/dining
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mother-and-baby/new-mum-starter-kit
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/footwear/slippers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2711648_c101/souluxe-printed-capri-gym-leggings-black
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2672305_c228/souluxe-marl-leggings-grey
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/underwear
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/categories/hoodies--jogs-and-sweatshirts/hoodies
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-age/toddler-3mnths-5yrs
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/footwear/flats
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/baby/bibs?%E2%9C%93&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BGirls%5D=on&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BUnisex%5D=on&amp;sort=
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/bedroom/bedroom_buyers_guide/how_to_choose_the_right_pillow
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/the-looks-we-love/stripes
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2672287_c101/souluxe-bootleg-trousers-black
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/categories/jeans
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/lingerie/bras/sports-bras
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/boys-highlights/show-me-everything
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/tops
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2732520_c671/souluxe-printed-gym-leggings-teal
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/shop-by-age/boys-3-13yrs
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/lingerie/bras/multipack-bras
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/kitchen/kitchen-accessories
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-age/teen-girls-8-16yrs/candy-couture-x
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/trousers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/collections/lingerie-collections/lingerie-sets
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/boys-highlights/new-arrivals/toddler
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/boys/highlights/as-seen-in-press
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/accessories/belts-and-braces
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/collections/suits-and-workwear/suits/work-and-interview-suits
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/dining/dinner-sets
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/blouses-and-shirts
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/nightwear
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/offers/sale
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/footwear/formal-shoes
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/shop-by-category/joggers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/girls--new-in-shoes-and-accessories
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/accessories
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/lingerie/babydolls
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/beauty
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/back-to-school/jumpers-and-cardigans
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/kitchen/kitchen-storage
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/wedding/hen-party
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/footwear/ballets
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.google-analytics.com
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/socks-and-tights
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/shop-by-category/dresses/summer-dresses
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/offers/shoes-offers
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/shop-by-category/denim
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/travel-essentials/suitcases-and-travel/cabin-cases
